IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
501875,Sap - Szap,508,47.8214388,17.6054715,501875,0,0,133,5,11,1,0,0,0,32,0,182,434,41.94
501883,Pataš - Csilizpatas,808,47.8695798,17.6648134,501883,0,1,116,10,18,2,1,5,0,37,0,190,635,29.92
501891,Rohovce - Nagyszarva,1108,47.9773255,17.4170938,501891,1,2,155,29,99,1,0,8,0,46,0,341,878,38.84
501905,Šamorín - Somorja,13628,48.0195397,17.3119962,501905,6,38,999,374,2460,11,58,119,2,1073,1,5141,10895,47.19
501913,Štvrtok na Ostrove - Csallóközcsütörtök,1714,48.1016468,17.3428251,501913,1,2,140,54,226,1,7,15,0,115,0,561,1451,38.66
501921,Topoľníky - Nyárasd,3116,47.9651673,17.8078449,501921,1,3,428,43,96,1,6,18,0,190,0,786,2595,30.29
501930,Ňárad - Csiliznyárad,631,47.8343171,17.6248801,501930,0,2,132,11,34,0,1,5,1,31,0,217,536,40.49
501956,Trnávka (DS) - Csallóköztárnok,522,48.0166356,17.4035745,501956,0,2,64,9,65,0,0,6,1,44,1,192,441,43.54
501964,Trstená na Ostrove - Csallóköznádasd,578,47.919986,17.5048588,501964,0,1,90,12,57,1,1,5,0,35,0,202,526,38.4
501972,Veľká Paka - Nagypaka,984,48.0411995,17.3999255,501972,0,1,52,53,219,3,9,9,0,96,1,443,819,54.09
501981,Veľké Blahovo - Nagyabony,1589,48.0396333,17.5946333,501981,0,2,154,32,68,0,1,11,0,91,1,360,1276,28.21
501999,Vojka nad Dunajom - Vajka,460,47.9585632,17.3986569,501999,0,5,46,18,105,0,4,6,1,47,1,233,436,53.44
502006,Vrakúň - Nyékvárkony,2794,47.9277845,17.6111218,502006,1,6,432,39,124,0,3,14,2,111,0,732,2379,30.77
502014,Vydrany - Nemeshodos,1783,48.0434315,17.6226549,502014,1,5,188,27,101,1,3,22,0,118,0,466,1568,29.72
502022,Zlaté Klasy - Nagymagyar,3611,48.1307668,17.4371825,502022,0,4,135,39,158,1,3,32,1,174,0,547,2721,20.1
502031,Levice,31974,48.2015586,18.6456576,502031,6,71,386,1328,6267,74,230,263,21,4454,6,13106,25738,50.92
502049,Bajka,328,48.1540918,18.5039444,502049,2,0,2,14,24,1,0,3,0,22,0,68,241,28.22
502057,Bátovce,1184,48.285921,18.7745383,502057,2,0,0,78,142,3,14,3,0,270,2,514,980,52.45
502065,Beša (LV) - Barsbese,635,48.1489447,18.4036671,502065,0,0,39,24,60,3,1,6,2,77,0,212,512,41.41
502073,Bielovce - Ipolybél,225,47.9940106,18.7630454,502073,0,0,42,1,4,2,0,4,0,25,0,78,179,43.58
502090,Bory - Bori,321,48.1912714,18.7506377,502090,0,0,17,28,35,1,0,7,0,47,0,135,262,51.53
502103,Brhlovce,296,48.220809,18.7374659,502103,0,0,0,24,52,2,1,2,0,76,0,157,245,64.08
502111,Čajkov,957,48.3133584,18.6115083,502111,0,3,0,48,215,2,4,4,1,214,0,491,769,63.85
502120,Čaka,743,48.0385693,18.4715534,502120,3,0,0,43,65,3,8,3,0,153,0,278,600,46.33
502154,Demandice,966,48.1217221,18.7877203,502154,0,2,34,43,129,4,7,11,0,87,0,317,729,43.48
502162,Devičany,408,48.3249928,18.6858253,502162,0,1,2,19,72,2,2,2,0,108,1,209,333,62.76
502171,Dolná Seč,525,48.1854622,18.5670624,502171,0,1,5,27,92,2,3,2,0,77,0,209,444,47.07
